1,whois.nic.aarp
2,whois.afilias-srs.net
4,whois.afilias-srs.net
5,whois.nic.abbvie
6,whois.nic.abc
8,whois.nic.abogado
9,whois.nic.abudhabi
10,whois.nic.ac
11,whois.nic.academy
13,whois.nic.accountant
14,whois.nic.accountants
15,whois.nic.aco
17,whois.nic.actor
19,whois.nic.adac
20,whois.nic.google
21,whois.registrar.adult
22,whois.aeda.net.ae
23,whois.nic.aeg
24,whois.aero
26,whois.nic.af
27,whois.nic.afamilycompany
28,whois.nic.afl
29,africa-whois.registry.net.za
30,whois.nic.ag
31,whois.afilias-srs.net
32,whois.nic.agency
33,whois.nic.ai
36,whois.nic.airbus
37,whois.nic.airforce
38,whois.nic.airtel
39,whois.afilias-srs.net
41,whois.afilias-srs.net
42,whois.nic.alibaba
43,whois.nic.alipay
44,whois.nic.allfinanz
45,whois.afilias-srs.net
46,whois.nic.ally
47,whois-alsace.nic.fr
48,whois.nic.alstom
49,whois.amnic.net
50,whois.nic.amazon
52,whois.nic.americanfamily
54,whois.nic.amfam
56,whois.nic.amsterdam
59,whois.nic.google
60,whois.teleinfo.cn
61,whois.nic.anz
63,whois.nic.aol
64,whois.nic.apartments
65,whois.nic.google
66,whois.afilias-srs.net
68,whois.nic.aquarelle
69,whois.nic.ar
70,whois.nic.arab
72,whois.afilias.net
73,whois.nic.army
74,whois.iana.org
75,whois.nic.art
76,whois.nic.arte
77,whois.nic.as
78,whois.nic.asda
79,whois.nic.asia
80,whois.nic.associates
81,whois.nic.at
83,whois.nic.attorney
84,whois.auda.org.au
85,whois.nic.auction
86,whois.afilias-srs.net
87,whois.nic.audible
88,whois.uniregistry.net
89,whois.nic.auspost
90,whois.nic.author
91,whois.nic.auto
92,whois.nic.autos
93,whois.afilias-srs.net
94,whois.nic.aw
95,whois.nic.aws
96,whois.ax
101,whois.nic.baby
102,whois.gtld.knet.cn
105,whois.nic.band
106,whois.nic.bank
107,whois.nic.bar
108,whois.nic.barcelona
109,whois.nic.barclaycard
110,whois.nic.barclays
111,whois.nic.barefoot
112,whois.nic.bargains
114,whois.nic.basketball
115,whois.nic.bauhaus
116,whois.nic.bayern
118,whois.nic.bbc
119,whois.nic.bbt
120,whois.nic.bbva
121,whois.nic.bcg
122,whois.nic.bcn
124,whois.dns.be
125,whois.afilias-srs.net
126,whois.nic.beauty
127,whois.nic.beer
128,whois.nic.bentley
129,whois.nic.berlin
130,whois.nic.best
131,whois.nic.bestbuy
132,whois.afilias.net
134,whois.register.bg
137,whois1.nic.bi
138,whois.nic.bible
139,whois.nic.bid
140,whois.nic.bike
142,whois.nic.bingo
143,whois.afilias.net
144,whois.nic.biz
145,whois.nic.bj
147,whois.afilias.net
148,whois.uniregistry.net
150,whois.nic.blockbuster
151,whois.nic.blog
153,whois.afilias.net
155,whois.nic.bms
156,whois.nic.bmw
157,whois.bnnic.bn
159,whois.afilias-srs.net
160,whois.nic.bo
161,whois.nic.boats
162,whois.afilias-srs.net
163,whois.nic.bofa
164,whois.gtlds.nic.br
165,whois.nic.bond
166,whois.nic.google
167,whois.nic.book
170,whois.nic.bosch
171,whois.nic.bostik
172,whois.nic.boston
173,whois.nic.bot
174,whois.nic.boutique
175,whois.nic.box
177,whois.registro.br
178,whois.nic.bradesco
179,whois.nic.bridgestone
180,whois.nic.broadway
181,whois.nic.broker
182,whois.nic.brother
183,whois.nic.brussels
186,whois.nic.budapest
187,whois.afilias-srs.net
188,whois.nic.build
189,whois.nic.builders
190,whois.nic.business
191,whois.nic.buy
194,whois.nic.net.bw
195,whois.cctld.by
197,whois.nic.bzh
198,whois.cira.ca
199,whois.nic.cab
